,year,date,race_id,grand_prix,circuit_ref,circuit_name,country,winner_driver,won_home_race,url
1090,1954,1954-07-17,803,British Grand Prix,silverstone,Silverstone Circuit,UK,gonzalez,False,http://en.wikipedia.org/wiki/1954_British_Grand_Prix
1091,1954,1954-07-04,802,French Grand Prix,reims,Reims-Gueux,France,fangio,False,http://en.wikipedia.org/wiki/1954_French_Grand_Prix
1092,1954,1954-06-20,801,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,fangio,False,http://en.wikipedia.org/wiki/1954_Belgian_Grand_Prix
1093,1954,1954-05-31,800,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,USA,vukovich,False,http://en.wikipedia.org/wiki/1954_Indianapolis_500
1094,1954,1954-01-17,799,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,Argentina,fangio,False,http://en.wikipedia.org/wiki/1954_Argentine_Grand_Prix
1095,1953,1953-09-13,816,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,fangio,False,http://en.wikipedia.org/wiki/1953_Italian_Grand_Prix
1096,1953,1953-08-23,815,Swiss Grand Prix,bremgarten,Circuit Bremgarten,Switzerland,ascari,False,http://en.wikipedia.org/wiki/1953_Swiss_Grand_Prix
1097,1953,1953-08-02,814,German Grand Prix,nurburgring,Nürburgring,Germany,farina,False,http://en.wikipedia.org/wiki/1953_German_Grand_Prix
1098,1953,1953-07-18,813,British Grand Prix,silverstone,Silverstone Circuit,UK,ascari,False,http://en.wikipedia.org/wiki/1953_British_Grand_Prix
1099,1953,1953-07-05,812,French Grand Prix,reims,Reims-Gueux,France,hawthorn,False,http://en.wikipedia.org/wiki/1953_French_Grand_Prix
1100,1953,1953-06-21,811,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,ascari,False,http://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix
1101,1953,1953-06-07,810,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Netherlands,ascari,False,http://en.wikipedia.org/wiki/1953_Dutch_Grand_Prix
1102,1953,1953-05-30,809,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,USA,vukovich,False,http://en.wikipedia.org/wiki/1953_Indianapolis_500
1103,1953,1953-01-18,808,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,Argentina,ascari,False,http://en.wikipedia.org/wiki/1953_Argentine_Grand_Prix
1104,1952,1952-09-07,824,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,ascari,True,http://en.wikipedia.org/wiki/1952_Italian_Grand_Prix
1105,1952,1952-08-17,823,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Netherlands,ascari,False,http://en.wikipedia.org/wiki/1952_Dutch_Grand_Prix
1106,1952,1952-08-03,822,German Grand Prix,nurburgring,Nürburgring,Germany,ascari,False,http://en.wikipedia.org/wiki/1952_German_Grand_Prix
1107,1952,1952-07-19,821,British Grand Prix,silverstone,Silverstone Circuit,UK,ascari,False,http://en.wikipedia.org/wiki/1952_British_Grand_Prix
1108,1952,1952-07-06,820,French Grand Prix,essarts,Rouen-Les-Essarts,France,ascari,False,http://en.wikipedia.org/wiki/1952_French_Grand_Prix
1109,1952,1952-06-22,819,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,ascari,False,http://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix
1110,1952,1952-05-30,818,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,USA,ruttman,False,http://en.wikipedia.org/wiki/1952_Indianapolis_500
1111,1952,1952-05-18,817,Swiss Grand Prix,bremgarten,Circuit Bremgarten,Switzerland,taruffi,False,http://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix
1112,1951,1951-10-28,832,Spanish Grand Prix,pedralbes,Circuit de Pedralbes,Spain,fangio,False,http://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix
1113,1951,1951-09-16,831,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,ascari,True,http://en.wikipedia.org/wiki/1951_Italian_Grand_Prix
1114,1951,1951-07-29,830,German Grand Prix,nurburgring,Nürburgring,Germany,ascari,False,http://en.wikipedia.org/wiki/1951_German_Grand_Prix
1115,1951,1951-07-14,829,British Grand Prix,silverstone,Silverstone Circuit,UK,gonzalez,False,http://en.wikipedia.org/wiki/1951_British_Grand_Prix
1116,1951,1951-07-01,828,French Grand Prix,reims,Reims-Gueux,France,fagioli,False,http://en.wikipedia.org/wiki/1951_French_Grand_Prix
1117,1951,1951-07-01,828,French Grand Prix,reims,Reims-Gueux,France,fangio,False,http://en.wikipedia.org/wiki/1951_French_Grand_Prix
1118,1951,1951-06-17,827,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,farina,False,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix
1119,1951,1951-05-30,826,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,USA,wallard,False,http://en.wikipedia.org/wiki/1951_Indianapolis_500
1120,1951,1951-05-27,825,Swiss Grand Prix,bremgarten,Circuit Bremgarten,Switzerland,fangio,False,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1121,1950,1950-09-03,839,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,farina,True,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1122,1950,1950-07-02,838,French Grand Prix,reims,Reims-Gueux,France,fangio,False,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1123,1950,1950-06-18,837,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,fangio,False,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
1124,1950,1950-06-04,836,Swiss Grand Prix,bremgarten,Circuit Bremgarten,Switzerland,farina,False,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1125,1950,1950-05-30,835,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,USA,parsons,False,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1126,1950,1950-05-21,834,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,fangio,False,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1127,1950,1950-05-13,833,British Grand Prix,silverstone,Silverstone Circuit,UK,farina,False,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
